topics,call_ids,frequency
Technical support,"[6, 13, 16, 27, 29, 32, 34, 40, 43, 49, 54, 62, 64]",13
Technical issues,"[24, 40, 61]",3
Camera configuration,"[39, 46]",2
Camera issues,"[13, 47]",2
Motion detection,"[17, 23]",2
Customer support,"[5, 33]",2
Wi-Fi connectivity,"[44, 47]",2
Technical troubleshooting,"[5, 15]",2
Application issues,[29],1
Application usage,[20],1
App setup for camera,[44],1
5MP camera issues,[55],1
Camera connection,[61],1
Camera connection issue,[44],1
Camera issue,[14],1
Camera lot number identification,[64],1
Camera module replacement,[55],1
Camera prompt messages,[54],1
Camera quality assessment,[53],1
Camera resolution,[35],1
Camera settings,[18],1
Camera updates,[7],1
Avnontech solutions,[14],1
Audio quality and volume control,[46],1
Backend team support,[23],1
Bit rate,[35],1
Call instructions,[1],1
Account registration,[29],1
Communication issues,[19],1
Communication coordination,[65],1
Communication,[26],1
Clarification on procedures,[62],1
Challenges in filling positions,[12],1
Car launch,[52],1
Connectivity issues,[43],1
Communication with the boy,[24],1
DNS server settings,[27],1
Dash camera installation,[32],1
Delay in delivery/task,[31],1
Demo scheduling,[39],1
Contact information confirmation,[34],1
Contact number,[1],1
Coordination with team members,[35],1
Confirmation of details,[18],1
Device power and technical specifications,[55],1
Device pricing,[40],1
Device resetting,[3],1
Document sending,[30],1
Doollrite camera,[6],1
Download process,[62],1
Email functionality,[23],1
Email notifications,[17],1
Ensuring correct information,[9],1
Error messages,[29],1
File saving process,[5],1
Firmware update,[39],1
Device configuration,[3],1
Device connectivity issue,[34],1
Device design improvements,[55],1
Customer coordination,[30],1
IP address change,[34],1
IP address configuration,[27],1
IP camera configuration,[6],1
IP camera,[19],1
IT troubleshooting,[7],1
"Information exchange (photos, serial numbers)",[54],1
Internet connectivity,[13],1
IP settings and changes,[37],1
Issues faced,[52],1
Language barrier,[33],1
Laptop issue,[1],1
Laptop setup and troubleshooting,[47],1
Login and password configuration,[64],1
Login credentials,[4],1
Login problems,[29],1
Issue resolution,[60],1
MSDS 123,[20],1
Management of temporary positions,[12],1
Mention of a name 'मनिद दीजी',[59],1
Meeting schedule,[47],1
Mobile application notifications,[17],1
Mode and preset settings,[39],1
Model number,[0],1
Mobile application,[18],1
Model number identification,[56],1
Motion detection configuration,[16],1
Motion detection notifications,[19],1
NVR and camera setup,[16],1
Follow-up call,[31],1
Forgotten password,[2],1
IBR number adjustments,[53],1
Device labeling,[56],1
NVR system,[19],1
NVR model specifications,[23],1
NVR feature,[17],1
NVR application,[20],1
NVR system issues,[23],1
Network connectivity,[3],1
Network setup,[43],1
Network troubleshooting,[27],1
OCam Pro app,[33],1
Office closing times,[47],1
P2P device setup,[3],1
Part replacement,[14],1
Night vision problems,[40],1
Night vision settings,[6],1
Notification and alert settings,[16],1
Number communication,[9],1
Problem discussion,[60],1
Process efficiency,[12],1
Product prioritization,[53],1
Project management,[26],1
Providing details,[30],1
QR code,[2],1
Recording features,[5],1
Reinstallation guidance,[4],1
Remote desktop connectivity,[37],1
Repeated attempts to resolve technical problems,[42],1
Repetition of a phone number,[59],1
Request for information,[59],1
Password reset,[29],1
Photo sharing,[65],1
Playback issues,[5],1
Presets and video settings,[15],1
Software application issue,[4],1
Security camera,[56],1
Scheduling and timing,[47],1
Room system setup,[24],1
System updates,[12],1
Solution brainstorming,[60],1
System 'नविर' status and troubleshooting,[42],1
Software/application settings,[15],1
Technical issue,[18],1
Technical difficulties,[7],1
Technical adjustments,[35],1
Technical issues with a camera,[42],1
Technical support guidance,[44],1
Technical support visit,[2],1
Timezone issues,[7],1
System and software,[61],1
Tool malfunction,[13],1
Troubleshooting,[39],1
Use of Ultra Viewer and IPC batch tool,[37],1
Troubleshooting steps,[43],1
Vehicle accessories,[32],1
Vendor purchase,[14],1
Verification process,[65],1
User interface navigation,[15],1
Video tutorial for setup,[46],1
Video upload issue,[49],1
WhatsApp photo transfer,[61],1
WhatsApp message,[0],1
Wi-Fi camera troubleshooting,[37],1
WiFi camera issues,[54],1
WiFi camera setup,[33],1
Zoom and preset settings,[46],1
